DateTime;AirTemperature;ComfortTemperature;RelativeHumidity;WindSpeed;WindDirection;WWCode;EffectiveCloudCover;Generation
1.01.2019 00:00;-1,7;-6,1;75,3;3,6;60;10;6,3;0
1.01.2019 01:00;-1,8;-5,3;75,3;2,6;70;10;4,5;0
1.01.2019 02:00;-2;-6;74,7;3,1;80;10;5,5;0,000008
1.01.2019 03:00;-1,9;-5,9;76,4;3,1;60;10;7,6;0
1.01.2019 04:00;-2;-7,1;76,4;4,6;60;10;6,5;0,000008
1.01.2019 05:00;-2,1;-6,6;75,2;3,6;60;10;5,5;0
1.01.2019 06:00;-2,2;-6,2;76,4;3,1;60;10;6,3;0
1.01.2019 07:00;-2,5;-8,5;79,3;5,7;50;10;3,5;1,0723045
1.01.2019 08:00;-2,5;-8,7;78,1;6,2;50;10;4,5;12,8844613
1.01.2019 09:00;-2,7;-6,8;77,4;3,1;40;10;3,1;48,9241281
1.01.2019 10:00;-1,7;-6,5;75,3;4,1;60;;2,5;96,165907
1.01.2019 11:00;-1;-6,8;72,6;6,2;50;;2,5;129,2822841
1.01.2019 12:00;-0,7;-5,2;72,7;4,1;50;;1,2;147,5627811
1.01.2019 13:00;0,5;-4;68,7;4,6;40;;2,5;140,8302499
1.01.2019 14:00;0,5;-3,7;68,7;4,1;50;;2,5;111,3980182
1.01.2019 15:00;-0,1;-5,4;69,6;5,7;40;;2,6;56,6164167
1.01.2019 16:00;-0,4;-5,8;71,6;5,7;30;;4;17,433793
1.01.2019 17:00;-0,6;-6,1;73,3;5,7;30;;4;0,7319721
1.01.2019 18:00;-0,9;-5,8;74,3;4,6;40;;3,5;0,000008
1.01.2019 19:00;-0,8;-5,3;74,3;4,1;40;;4;0
1.01.2019 20:00;-0,9;-5,8;74,3;4,6;30;;4;0
1.01.2019 21:00;-1,1;-5,7;75,4;4,1;30;;3,5;0
1.01.2019 22:00;-1;-5,6;74,3;4,1;40;;6;0
1.01.2019 23:00;-1;-5,6;76,6;4,1;40;;6;0
2.01.2019 00:00;-1,1;-4,5;78,3;2,6;60;;6,3;0,000008
2.01.2019 01:00;-1,2;-5,5;79,5;3,6;60;;4,5;0
2.01.2019 02:00;-1,3;-5,1;81,3;3,1;50;73;4,5;0
2.01.2019 03:00;-0,6;-3,9;78,4;2,6;50;70;7,7;0,000008
2.01.2019 04:00;-0,8;-4,5;83,2;3,1;60;70;6,5;0
2.01.2019 05:00;-1,4;-5,3;88,9;3,1;70;71;7;0,000008
2.01.2019 06:00;-1,5;-4,9;92,9;2,6;60;71;7,8;0
2.01.2019 07:00;-1,1;-5,3;94,3;3,6;40;71;7;0,7538983
2.01.2019 08:00;-1,2;-5;92,9;3,1;50;22;6,5;8,4170835
2.01.2019 09:00;-0,7;-4,4;92,3;3,1;50;2;7,6;23,2086915
2.01.2019 10:00;0;-4;86,4;3,6;30;70;6,5;41,6209851
2.01.2019 11:00;0;-4;85,1;3,6;20;70;6,5;59,1462041
2.01.2019 12:00;0,9;-3,2;83,4;4,1;40;22;7,3;75,5166575
2.01.2019 13:00;1,6;-2,3;82,3;4,1;50;10;6,5;65,5428395
2.01.2019 14:00;2,1;-1,4;82,3;3,6;50;23;6,5;43,3652356
2.01.2019 15:00;1,9;-1,2;83,5;3,1;50;2;7,6;21,0284869
2.01.2019 16:00;2,4;2,2;84,2;1,5;40;23;6,5;7,1091721
2.01.2019 17:00;2,5;2,3;84,8;1,5;50;60;6,5;0,1902966
2.01.2019 18:00;2;1,9;87,2;1,5;30;21;7,6;0
2.01.2019 19:00;2,4;0,2;86,6;2,1;360;;6,5;0,000008
2.01.2019 20:00;2,8;2,6;85,4;1,5;20;;6,5;0,010132
2.01.2019 21:00;4,1;3,8;79,7;1;90;2;7,6;0
2.01.2019 22:00;3,1;1;84,9;2,1;40;;6;0,000008
2.01.2019 23:00;2,9;0,8;85,5;2,1;50;61;6,5;0
3.01.2019 00:00;4,4;4,1;80,9;1;90;21;7,6;0
3.01.2019 01:00;4,3;4;80,9;1,5;50;61;6,5;0,000008
3.01.2019 02:00;4,4;4,1;79,7;1;40;;6,5;0
3.01.2019 03:00;4,4;2,1;79,7;2,6;180;10;7,6;0,000008
3.01.2019 04:00;4,3;4;80,9;0,5;220;;5;0
3.01.2019 05:00;4,1;3,9;82;1,5;240;;5,5;0
3.01.2019 06:00;3,8;3,6;82;1;220;60;7;0,020708
3.01.2019 07:00;3,8;3,6;82,5;0,5;200;21;6;1,0189079
3.01.2019 08:00;3,8;3,6;85,6;0,5;230;60;6;8,5622659
3.01.2019 09:00;3,6;3,4;85,5;0,5;210;60;7;27,5284847
3.01.2019 10:00;4,1;3,9;84,4;0,5;200;21;6;55,8210335
3.01.2019 11:00;4,6;4,3;81,5;1;220;60;5;89,3457339
3.01.2019 12:00;5,4;5,1;77,1;1;220;21;6,6;120,1442999
3.01.2019 13:00;7,2;6,8;71,1;1,5;220;;5;118,294386
3.01.2019 14:00;7,5;6;63,9;2,1;190;;6;82,7346192
3.01.2019 15:00;8,1;7,6;63,1;1,5;180;2;6;37,149508
3.01.2019 16:00;7,1;5,6;66,1;2,1;170;;4,5;11,6274903
3.01.2019 17:00;6,5;4,6;67;2,6;140;;5,5;0,2537131
3.01.2019 18:00;5,8;3,5;69,8;3,1;130;;6,6;0,000008
3.01.2019 19:00;5,4;5,1;72,8;1;50;;5,5;0
3.01.2019 20:00;5,1;4,8;81;1,5;150;80;6;0
3.01.2019 21:00;5,1;3;81;2,6;110;25;7,1;0,000008
3.01.2019 22:00;6,1;3,9;71,9;3,1;160;80;5,5;0
3.01.2019 23:00;6,2;3,5;71,9;4,1;180;60;6;0,000008
4.01.2019 00:00;5,9;3,2;79,9;4,1;180;61;7,6;0
4.01.2019 01:00;6,3;2,8;76,1;6,7;180;21;5,5;0
4.01.2019 02:00;5,9;3,2;77,7;4,1;200;80;5,5;0,000008
4.01.2019 03:00;5,7;3,7;79,9;2,6;190;2;7,1;0
4.01.2019 04:00;5,9;3,7;77,7;3,1;200;;5,5;0
4.01.2019 05:00;5,3;3;81;3,1;190;;4;0,000008
4.01.2019 06:00;5,4;2,3;77,6;4,6;190;;5,7;0,001725
4.01.2019 07:00;5,3;2,9;77,6;3,1;220;80;4,5;0,9482247
4.01.2019 08:00;4,7;2,4;68,5;2,6;220;;4,5;12,4063574
4.01.2019 09:00;4,1;0,8;65,5;4,1;220;2;5,7;51,7393131
4.01.2019 10:00;4,2;0,2;60,4;5,7;220;;4;106,9846747
4.01.2019 11:00;3,9;-0,2;62,6;5,7;240;;6;155,3970913
4.01.2019 12:00;3,9;0,3;59,4;4,6;230;;5;182,4478375
4.01.2019 13:00;4,6;1,1;51,3;4,6;240;;3;178,1794522
4.01.2019 14:00;3,8;-0,1;57,2;5,1;250;;4;142,9939597
4.01.2019 15:00;4,2;0,6;52;4,6;230;;4;90,5687026
4.01.2019 16:00;4,5;4;52,1;1,5;220;;4;40,7874005
4.01.2019 17:00;3,6;1,5;52,2;2,1;260;;4;3,424212
4.01.2019 18:00;2,9;0,7;52;2,1;360;;3;0
4.01.2019 19:00;2;1,8;55,5;1;20;;3;0
4.01.2019 20:00;1;-2,4;65,2;3,1;70;;3;0
4.01.2019 21:00;1,2;-1,7;61,5;2,6;30;;3,5;0
4.01.2019 22:00;0,5;-3,4;68,7;3,6;60;;5;0,0000447
4.01.2019 23:00;0,5;-2;69,7;2,1;40;;4;0,001024
5.01.2019 00:00;1;-2;66,2;2,6;40;;6,3;0
5.01.2019 01:00;0,9;-2,5;67,2;3,1;50;;5;0,000008
5.01.2019 02:00;0,9;-2,1;68,2;2,6;40;73;4,5;0
5.01.2019 03:00;0,1;-3,9;70,7;3,6;60;70;7,6;0,000008
5.01.2019 04:00;0,5;-2,6;72,4;2,6;50;70;6,5;0
5.01.2019 05:00;0,1;-4,8;74,5;5,1;40;22;4,5;0
5.01.2019 06:00;-0,2;-4,9;75,6;4,6;50;3;6,6;0,000008
5.01.2019 07:00;-0,2;-3,8;79,6;3,1;40;;5,5;0,3328079
5.01.2019 08:00;0;-4,7;75,6;4,6;40;71;5,5;5,1260342
5.01.2019 09:00;0,5;-4;75,7;4,6;30;1;6,3;17,7504954
